Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1072,24-08-2023,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail
1075,09-10-2023,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online
1030,17-07-2023,David,West,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online
1038,11-03-2023,Bob,South,1452.35,15,Clothing,2543.36,2790.1000000000004,Returning,0.07,Cash,Online
1060,16-12-2023,Eve,East,3224.71,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail
1076,16-12-2023,Eve,East,7160.75,30,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail
1060,17-08-2023,Bob,East,8371.25,16,Clothing,3975.99,4422.59,New,0.24,Cash,Online
1062,06-01-2023,Eve,East,3439.72,15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online
1039,22-07-2023,Alice,East,6807.67,42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail
1018,26-01-2023,Alice,East,3187.45,11,Clothing,2414.82,2519.07,Returning,0.0,Cash,Online
1009,28-04-2023,Alice,North,1342.95,33,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online
1002,31-07-2023,David,East,8090.84,21,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail
1060,23-04-2023,Eve,East,273.77,23,Clothing,4110.6,4488.370000000001,New,0.12,Credit Card,Online
1008,01-01-2023,Eve,North,5227.81,38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online
1036,20-10-2023,David,North,6499.94,49,Clothing,1247.1,1429.4399999999998,New,0.16,Cash,Online
1050,19-05-2023,Charlie,East,9744.52,35,Clothing,2158.69,2384.38,Returning,0.09,Bank Transfer,Retail
1004,22-12-2023,Eve,North,8485.9,11,Clothing,4840.33,4884.29,New,0.13,Cash,Online
1018,21-06-2023,Eve,North,750.38,28,Clothing,1006.14,1043.45,New,0.15,Bank Transfer,Retail
1090,13-01-2023,Alice,East,2359.53,17,Clothing,2382.98,2839.73,Returning,0.23,Bank Transfer,Retail
1034,10-05-2023,Eve,East,4892.36,19,Clothing,1922.21,2180.83,Returning,0.17,Credit Card,Retail
1062,17-11-2023,Charlie,North,4790.72,28,Clothing,2094.88,2168.9100000000003,Returning,0.08,Cash,Retail
1040,10-03-2023,Charlie,East,2331.27,13,Clothing,2750.18,2882.85,Returning,0.24,Credit Card,Online
1053,17-05-2023,Bob,South,7835.09,36,Clothing,4252.17,4720.27,New,0.09,Cash,Retail
1089,01-01-2023,Charlie,North,8130.13,35,Clothing,4071.01,4304.7,New,0.14,Credit Card,Online
1060,23-10-2023,Bob,West,6395.95,46,Clothing,1747.05,1830.27,New,0.15,Bank Transfer,Retail
1029,01-03-2023,David,East,6773.89,28,Clothing,2873.53,3108.3,New,0.15,Credit Card,Retail
1045,15-12-2023,David,South,3517.4,42,Clothing,3587.74,3745.91,Returning,0.1,Cash,Online
1009,17-08-2023,Bob,West,8912.4,33,Clothing,450.72,918.17,Returning,0.11,Cash,Online
1088,27-09-2023,Eve,North,7106.44,12,Clothing,4389.24,4856.219999999999,Returning,0.15,Cash,Retail
1035,19-03-2023,Bob,South,5343.63,9,Clothing,2534.94,2755.56,Returning,0.13,Credit Card,Retail
1028,11-02-2023,Alice,East,2819.57,24,Clothing,2521.03,2766.05,Returning,0.16,Bank Transfer,Retail
1073,23-10-2023,Charlie,South,4650.68,45,Clothing,4369.5,4381.89,Returning,0.02,Credit Card,Retail
1072,24-11-2023,Alice,East,5511.11,25,Clothing,481.19,693.4,New,0.27,Credit Card,Retail
1034,14-04-2023,Alice,West,534.61,3,Clothing,3472.51,3732.0,New,0.06,Cash,Online
1033,14-01-2023,Alice,West,1740.92,24,Clothing,1345.67,1367.76,New,0.06,Bank Transfer,Online
1023,28-06-2023,Eve,East,2170.94,9,Clothing,4155.46,4273.6,Returning,0.25,Cash,Retail
1062,05-05-2023,Eve,South,594.79,26,Clothing,992.17,1263.49,Returning,0.25,Bank Transfer,Retail
1088,19-12-2023,Alice,East,8452.13,20,Clothing,4590.24,5088.28,New,0.16,Bank Transfer,Retail
1037,23-01-2023,Bob,North,9813.81,40,Clothing,2790.11,3192.37,Returning,0.26,Bank Transfer,Online
1091,25-05-2023,Alice,North,9610.21,24,Clothing,3639.3,3750.63,New,0.23,Bank Transfer,Retail
1035,13-08-2023,Alice,West,2049.56,5,Clothing,3991.69,4454.97,New,0.14,Credit Card,Retail
1047,14-04-2023,Eve,West,7146.06,16,Clothing,3966.86,4321.04,Returning,0.23,Credit Card,Retail
1005,08-03-2023,Alice,North,4426.26,12,Clothing,253.29,683.78,New,0.25,Credit Card,Online
1090,28-06-2023,Charlie,North,5976.25,41,Clothing,3736.88,3946.77,Returning,0.06,Credit Card,Online
1009,21-04-2023,Eve,North,9813.66,47,Clothing,359.41,733.0,Returning,0.2,Bank Transfer,Retail
1090,19-08-2023,Bob,West,9088.2,31,Clothing,2347.81,2668.02,Returning,0.09,Bank Transfer,Retail
1077,07-02-2023,Eve,West,9605.34,12,Clothing,2427.46,2743.09,New,0.29,Credit Card,Retail
1063,16-10-2023,Charlie,North,9775.35,4,Clothing,1134.67,1201.39,New,0.3,Bank Transfer,Retail
1096,27-03-2023,Alice,North,4821.31,48,Clothing,2449.21,2714.12,New,0.01,Credit Card,Online
1023,05-01-2023,Alice,East,6442.09,2,Clothing,575.32,914.77,Returning,0.26,Bank Transfer,Online
1059,16-08-2023,Alice,West,3634.59,21,Clothing,3110.54,3192.99,New,0.17,Credit Card,Online
1086,31-12-2023,Alice,South,9269.32,33,Clothing,3419.33,3890.36,Returning,0.21,Cash,Retail
1028,04-08-2023,Alice,North,2363.9,38,Clothing,3350.32,3449.94,New,0.26,Cash,Online
1030,10-05-2023,Bob,South,1273.18,43,Clothing,4696.64,4713.68,Returning,0.24,Bank Transfer,Online
1051,12-12-2023,Eve,North,2479.95,8,Clothing,467.11,792.21,New,0.2,Credit Card,Online
1044,29-10-2023,Charlie,North,1996.77,11,Clothing,1812.66,2196.3,New,0.08,Cash,Online
1079,06-08-2023,David,North,1107.86,45,Clothing,1406.9,1547.35,New,0.17,Cash,Retail
1032,14-04-2023,David,North,2286.44,45,Clothing,3712.35,3780.88,New,0.07,Cash,Retail
1058,20-06-2023,Eve,West,2896.54,48,Clothing,2614.48,3049.04,New,0.1,Credit Card,Retail
1002,20-10-2023,David,North,5842.88,30,Clothing,4646.55,4784.28,Returning,0.1,Credit Card,Retail
1056,07-05-2023,David,East,7611.88,28,Clothing,1566.03,1576.34,Returning,0.2,Bank Transfer,Online
1002,14-10-2023,David,South,8951.53,39,Clothing,1004.71,1389.35,New,0.24,Bank Transfer,Online
1092,29-01-2023,Bob,South,8936.33,13,Clothing,2684.5,2913.78,New,0.08,Credit Card,Retail
1087,24-10-2023,Bob,East,7825.62,28,Clothing,551.83,569.63,New,0.13,Credit Card,Retail
1068,24-02-2023,Bob,North,5118.51,22,Clothing,3619.61,3651.42,Returning,0.26,Bank Transfer,Online
1069,03-06-2023,David,West,6581.04,42,Clothing,1434.2,1482.88,New,0.28,Credit Card,Retail
1070,13-12-2023,Alice,West,100.12,8,Clothing,3762.27,4166.95,Returning,0.16,Bank Transfer,Online
1020,08-09-2023,Eve,North,9733.47,26,Clothing,4472.35,4770.42,New,0.01,Credit Card,Retail
1019,01-06-2023,Bob,East,3109.03,38,Clothing,3637.25,4096.96,Returning,0.09,Bank Transfer,Online
1090,25-01-2023,Charlie,South,2381.12,17,Clothing,4190.26,4645.35,New,0.12,Credit Card,Retail
1019,17-07-2023,David,South,7320.51,14,Clothing,1614.19,1882.79,New,0.25,Credit Card,Retail
1071,26-06-2023,David,North,6664.17,35,Clothing,295.82,684.6700000000001,New,0.03,Credit Card,Online
1033,04-03-2023,Bob,West,8499.41,14,Clothing,362.38,753.81,Returning,0.19,Cash,Retail
1040,30-05-2023,Alice,South,4284.03,47,Clothing,1656.82,1750.38,New,0.21,Credit Card,Online
1039,03-06-2023,Bob,South,3099.02,8,Clothing,3380.14,3609.34,Returning,0.09,Credit Card,Online
1082,05-06-2023,Charlie,East,3320.42,15,Clothing,1719.47,1832.6,Returning,0.12,Credit Card,Online
1001,18-02-2023,David,West,7154.95,27,Clothing,939.02,1286.92,Returning,0.07,Credit Card,Retail
1007,18-02-2023,Alice,South,876.71,34,Clothing,1921.07,2289.27,Returning,0.07,Bank Transfer,Retail
1016,23-11-2023,Eve,East,5490.52,26,Clothing,4906.85,4954.39,New,0.25,Bank Transfer,Online
