Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1015,21-09-2023,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail
1021,11-02-2023,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online
1100,14-08-2023,Bob,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online
1024,11-11-2023,Eve,West,6607.8,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail
1022,17-08-2023,Charlie,South,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail
1091,04-09-2023,Charlie,South,675.11,44,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail
1059,31-08-2023,Alice,North,1203.97,35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online
1042,31-01-2023,Alice,North,5207.03,11,Food,635.2,814.1400000000001,Returning,0.02,Cash,Online
1007,03-03-2023,Eve,West,4694.54,1,Food,2543.26,2637.9100000000003,Returning,0.2,Credit Card,Online
1014,22-11-2023,David,West,9762.54,17,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online
1044,16-02-2023,David,South,7754.1,22,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail
1035,22-05-2023,Alice,South,3780.22,45,Food,4132.79,4624.1,New,0.15,Credit Card,Retail
1006,16-09-2023,Bob,North,8995.75,49,Food,2843.76,3146.6000000000004,New,0.08,Cash,Retail
1063,18-05-2023,Bob,West,3098.87,39,Food,3577.69,3931.25,Returning,0.21,Cash,Retail
1074,25-03-2023,Eve,West,7499.7,38,Food,2610.6,2836.94,Returning,0.19,Credit Card,Online
1014,11-04-2023,Alice,South,9582.12,38,Food,2091.21,2527.0,Returning,0.01,Credit Card,Online
1072,07-02-2023,Bob,East,5490.38,26,Food,3640.17,4002.63,New,0.05,Credit Card,Retail
1062,01-11-2023,Bob,East,3720.24,36,Food,1050.64,1167.3300000000002,New,0.22,Cash,Online
1041,16-11-2023,David,South,3942.84,40,Food,601.86,1067.53,New,0.18,Cash,Online
1065,24-11-2023,Bob,East,9183.11,18,Food,1239.09,1273.98,New,0.02,Bank Transfer,Retail
1089,24-09-2023,Bob,South,2975.99,48,Food,2246.67,2486.14,New,0.03,Cash,Retail
1071,27-12-2023,David,East,4752.88,40,Food,1447.72,1875.75,New,0.13,Cash,Retail
1081,05-01-2023,Bob,South,1429.32,44,Food,618.79,938.04,Returning,0.03,Cash,Online
1041,25-08-2023,Bob,South,854.77,31,Food,1604.52,1756.34,Returning,0.17,Cash,Retail
1044,23-05-2023,Bob,West,8552.47,19,Food,2182.75,2504.03,New,0.01,Bank Transfer,Online
1099,14-04-2023,Alice,East,9948.71,27,Food,4929.55,4990.33,Returning,0.29,Credit Card,Online
1014,11-02-2023,David,West,823.51,44,Food,2257.48,2747.81,Returning,0.27,Cash,Online
1027,15-01-2023,Bob,West,6261.2,26,Food,149.11,477.67,Returning,0.14,Cash,Retail
1015,16-10-2023,Charlie,North,7946.69,23,Food,2937.94,3007.53,Returning,0.03,Cash,Retail
1042,06-06-2023,Bob,North,9442.65,20,Food,3115.06,3565.58,Returning,0.3,Credit Card,Retail
1052,15-07-2023,Charlie,East,1700.55,48,Food,3002.35,3080.61,Returning,0.18,Bank Transfer,Retail
1004,18-11-2023,Alice,East,7211.48,1,Food,182.99,211.18,Returning,0.27,Bank Transfer,Retail
1015,03-05-2023,David,South,6699.34,30,Food,2680.22,3027.92,Returning,0.25,Bank Transfer,Online
1029,19-12-2023,Eve,North,5694.34,21,Food,3085.1,3200.75,New,0.21,Cash,Retail
1057,18-09-2023,Charlie,West,7315.73,25,Food,1821.91,2027.74,New,0.02,Bank Transfer,Retail
1028,20-11-2023,Alice,East,388.78,5,Food,734.92,991.21,Returning,0.21,Credit Card,Online
1062,05-04-2023,Bob,North,2959.96,48,Food,2487.19,2521.4500000000003,New,0.29,Cash,Online
1092,31-08-2023,Eve,South,9203.36,47,Food,4284.98,4462.4,New,0.28,Credit Card,Retail
1089,19-10-2023,Eve,West,9933.22,23,Food,2120.54,2597.67,Returning,0.26,Credit Card,Retail
1027,10-03-2023,Eve,South,3985.34,21,Food,2511.41,2848.4,Returning,0.06,Bank Transfer,Online
1003,11-09-2023,David,East,9514.19,22,Food,4218.43,4331.42,New,0.26,Bank Transfer,Online
1027,07-02-2023,Bob,West,7896.74,3,Food,999.09,1271.99,New,0.15,Credit Card,Online
1037,23-01-2023,Charlie,East,3649.93,25,Food,1074.62,1382.4299999999998,Returning,0.24,Credit Card,Retail
1012,20-11-2023,Bob,North,5858.06,1,Food,4190.83,4528.77,Returning,0.22,Bank Transfer,Online
1003,24-11-2023,Eve,East,5215.31,11,Food,3706.78,3862.26,New,0.22,Credit Card,Retail
1059,02-04-2023,Eve,West,3595.2,12,Food,3496.15,3955.75,Returning,0.28,Cash,Retail
1002,20-02-2023,Charlie,West,9469.92,26,Food,508.94,557.69,New,0.22,Credit Card,Retail
1054,23-10-2023,David,East,4252.54,8,Food,4117.13,4177.06,Returning,0.25,Bank Transfer,Retail
1097,24-09-2023,Alice,East,5025.64,9,Food,4067.28,4548.09,Returning,0.12,Credit Card,Retail
1001,14-09-2023,Eve,South,2126.33,39,Food,2437.26,2889.67,Returning,0.25,Cash,Online
1019,29-10-2023,David,West,5952.19,31,Food,333.69,685.1,New,0.04,Bank Transfer,Online
1002,11-04-2023,Bob,North,1942.75,21,Food,914.22,971.57,Returning,0.14,Cash,Online
1044,20-04-2023,Charlie,West,8564.8,34,Food,3573.3,3740.13,Returning,0.01,Credit Card,Online
1032,15-11-2023,Alice,West,9413.77,1,Food,651.0,865.76,Returning,0.09,Bank Transfer,Retail
1075,05-11-2023,Bob,East,8127.7,37,Food,1675.51,1906.64,New,0.13,Bank Transfer,Online
1017,21-07-2023,David,East,3388.69,1,Food,172.59,404.69,Returning,0.29,Bank Transfer,Online
1038,09-11-2023,David,East,6966.82,1,Food,1281.65,1709.71,Returning,0.14,Credit Card,Online
1024,27-04-2023,Alice,West,7734.12,42,Food,2069.05,2363.9,Returning,0.07,Cash,Online
1097,16-03-2023,David,South,471.95,35,Food,1958.49,2254.84,New,0.16,Credit Card,Online
1067,29-06-2023,Eve,South,114.59,48,Food,4319.32,4625.56,Returning,0.1,Bank Transfer,Online
1031,08-12-2023,David,North,7567.06,22,Food,4236.05,4382.320000000001,New,0.2,Bank Transfer,Online
1094,04-03-2023,Bob,North,3992.63,49,Food,615.47,715.84,Returning,0.21,Credit Card,Retail
1001,03-08-2023,Bob,West,5879.35,20,Food,2153.52,2303.7,Returning,0.01,Cash,Retail
1037,07-06-2023,Alice,South,6055.38,4,Food,4721.7,5017.58,New,0.24,Cash,Retail
1009,01-11-2023,Bob,South,7172.8,14,Food,547.79,958.76,Returning,0.07,Credit Card,Retail
1099,13-10-2023,Charlie,North,7614.15,14,Food,1996.64,2341.4700000000003,Returning,0.22,Credit Card,Online
1019,24-05-2023,Eve,South,1114.91,13,Food,3102.73,3202.68,New,0.09,Cash,Online
1020,19-03-2023,Eve,West,9335.96,19,Food,1783.48,1931.56,Returning,0.27,Bank Transfer,Retail
1054,13-07-2023,Alice,South,7002.37,47,Food,4429.8,4694.21,New,0.25,Bank Transfer,Online
1099,11-05-2023,Alice,South,3518.89,48,Food,3441.61,3693.45,Returning,0.19,Bank Transfer,Online
1025,15-10-2023,David,North,3422.54,44,Food,1485.72,1717.97,New,0.02,Credit Card,Retail
1054,24-02-2023,Alice,North,5664.52,43,Food,2124.72,2188.66,Returning,0.03,Credit Card,Retail
1061,15-12-2023,Alice,North,3867.13,32,Food,2759.26,3193.25,New,0.2,Bank Transfer,Online
1041,08-01-2023,David,East,1714.05,36,Food,864.77,1170.16,Returning,0.11,Cash,Retail
1100,17-11-2023,Bob,East,7883.44,13,Food,366.2,732.69,New,0.04,Cash,Retail
1068,04-09-2023,Eve,East,3905.11,14,Food,1140.58,1438.76,Returning,0.03,Bank Transfer,Online
1021,24-11-2023,Eve,North,213.04,15,Food,3771.27,4212.55,Returning,0.16,Credit Card,Retail
1048,23-02-2023,Bob,West,7066.63,47,Food,4535.86,4641.41,New,0.27,Credit Card,Retail
1033,07-04-2023,Bob,East,5509.66,4,Food,2000.75,2426.99,Returning,0.17,Bank Transfer,Online
1051,30-04-2023,Bob,West,5571.8,3,Food,1000.18,1023.64,Returning,0.04,Credit Card,Online
1098,07-11-2023,Alice,West,3166.9,31,Food,2407.8,2502.76,Returning,0.27,Cash,Retail
1049,30-10-2023,Alice,East,2947.56,38,Food,4243.98,4474.509999999999,New,0.01,Credit Card,Online
1044,11-01-2023,Eve,North,3594.29,5,Food,4762.87,5050.46,New,0.25,Cash,Retail
1093,29-04-2023,Alice,North,7353.72,34,Food,4201.11,4436.5,New,0.05,Cash,Online
1024,10-08-2023,Eve,South,4384.39,30,Food,1543.96,1558.87,Returning,0.28,Credit Card,Online
1093,14-08-2023,David,West,6885.89,6,Food,235.12,677.5,Returning,0.16,Credit Card,Online
1033,03-08-2023,Alice,West,1103.59,40,Food,541.19,595.2,Returning,0.19,Credit Card,Online
1067,08-05-2023,Charlie,North,2850.74,32,Food,2171.79,2307.64,Returning,0.22,Bank Transfer,Online
1058,14-01-2023,Bob,East,5235.14,6,Food,4987.71,4998.78,Returning,0.17,Cash,Retail
1032,08-10-2023,Eve,East,4095.65,11,Food,2025.67,2081.55,New,0.27,Bank Transfer,Online
1086,20-07-2023,Bob,North,7075.09,17,Food,1057.27,1366.62,New,0.21,Credit Card,Retail
1025,22-12-2023,Bob,South,6030.54,11,Food,1250.59,1515.4899999999998,Returning,0.21,Bank Transfer,Retail
1036,17-03-2023,Alice,East,2583.84,23,Food,3335.53,3742.12,New,0.03,Bank Transfer,Retail
