Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel
1052,03-02-2023,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online
1093,21-04-2023,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail
1083,11-04-2023,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online
1087,06-01-2023,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online
1075,29-06-2023,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online
1088,16-11-2023,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail
1003,31-12-2023,Alice,South,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online
1053,16-10-2023,Bob,North,2235.83,48,Furniture,121.19,487.65,New,0.18,Cash,Retail
1002,30-05-2023,David,North,6810.35,17,Furniture,4024.76,4420.150000000001,Returning,0.04,Cash,Online
1021,27-11-2023,Alice,South,6483.84,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online
1033,14-11-2023,David,South,4011.8,23,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail
1058,05-04-2023,Alice,North,2072.23,33,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail
1089,07-11-2023,Bob,West,2945.36,47,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail
1049,17-05-2023,Alice,West,3741.08,1,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online
1092,09-02-2023,David,West,2749.17,34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online
1015,11-08-2023,Eve,East,3853.03,32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail
1062,18-11-2023,Alice,East,291.34,12,Furniture,1088.99,1545.0,Returning,0.04,Bank Transfer,Retail
1062,16-03-2023,David,West,4195.06,45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online
1055,01-12-2023,Charlie,West,4102.47,8,Furniture,3513.0,3838.42,Returning,0.13,Bank Transfer,Online
1003,28-04-2023,Charlie,South,5991.8,27,Furniture,623.32,853.6600000000001,Returning,0.04,Cash,Online
1021,13-07-2023,Bob,West,9638.64,43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail
1073,01-12-2023,David,West,5238.42,40,Furniture,2565.3,3007.4700000000003,Returning,0.17,Credit Card,Retail
1089,27-10-2023,David,North,7751.92,43,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online
1084,13-08-2023,Alice,West,1290.05,21,Furniture,3497.98,3765.31,New,0.08,Cash,Online
1071,20-05-2023,Eve,West,3003.76,6,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail
1078,16-11-2023,David,East,113.4,8,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online
1081,07-02-2023,David,East,3068.03,41,Furniture,2782.08,2879.24,New,0.21,Bank Transfer,Online
1002,29-11-2023,David,North,333.59,24,Furniture,3305.94,3599.27,New,0.09,Credit Card,Retail
1054,10-06-2023,Bob,South,7853.66,21,Furniture,4668.14,5040.22,New,0.05,Bank Transfer,Online
1054,10-01-2023,Eve,South,4634.16,40,Furniture,2654.11,2929.32,Returning,0.08,Cash,Online
1044,17-06-2023,Charlie,North,2541.38,6,Furniture,2388.95,2742.97,Returning,0.25,Credit Card,Retail
1100,15-11-2023,Eve,East,672.66,2,Furniture,1036.76,1189.35,New,0.27,Bank Transfer,Online
1048,30-09-2023,Charlie,North,7873.38,4,Furniture,2900.14,2910.51,New,0.22,Credit Card,Retail
1078,04-04-2023,David,East,9631.41,49,Furniture,1833.95,2147.14,Returning,0.18,Credit Card,Retail
1087,05-04-2023,Eve,East,848.49,43,Furniture,481.0,531.02,New,0.17,Cash,Online
1085,14-11-2023,Charlie,South,2038.75,32,Furniture,1074.93,1492.48,Returning,0.04,Credit Card,Retail
1080,24-08-2023,Bob,West,1493.95,17,Furniture,2742.67,2979.64,Returning,0.01,Cash,Retail
1015,16-11-2023,Eve,East,2673.06,1,Furniture,2928.74,3027.74,New,0.15,Bank Transfer,Retail
1088,18-10-2023,Eve,West,177.63,16,Furniture,3016.9,3040.73,New,0.26,Bank Transfer,Retail
1011,14-06-2023,Alice,South,4531.97,38,Furniture,4456.67,4642.46,New,0.06,Bank Transfer,Online
1033,12-05-2023,Bob,North,5055.98,16,Furniture,2915.88,3397.36,New,0.2,Bank Transfer,Retail
1007,30-03-2023,David,East,8088.96,14,Furniture,1122.07,1608.76,New,0.22,Cash,Retail
1012,22-10-2023,David,North,4384.88,34,Furniture,2462.55,2521.77,New,0.21,Bank Transfer,Retail
1099,04-03-2023,David,East,7952.11,10,Furniture,1531.2,1955.56,New,0.0,Credit Card,Online
1065,05-11-2023,Alice,East,9519.16,3,Furniture,4173.04,4362.44,New,0.23,Bank Transfer,Retail
1078,08-02-2023,Alice,South,9813.32,49,Furniture,3026.85,3183.58,Returning,0.25,Cash,Retail
1079,06-06-2023,David,South,1982.07,34,Furniture,1967.96,1993.4,Returning,0.15,Credit Card,Online
1036,28-04-2023,Charlie,West,7739.11,25,Furniture,4037.73,4446.45,Returning,0.09,Bank Transfer,Online
1066,03-07-2023,Charlie,North,6380.2,15,Furniture,2579.31,2867.36,Returning,0.04,Bank Transfer,Retail
1042,15-01-2023,David,South,2298.55,46,Furniture,2172.38,2367.11,New,0.16,Cash,Retail
1062,16-05-2023,Charlie,North,8495.62,46,Furniture,159.32,303.36,New,0.03,Cash,Retail
1084,22-06-2023,Eve,North,6658.1,49,Furniture,4291.97,4645.64,Returning,0.26,Credit Card,Online
1075,25-04-2023,David,West,4038.58,44,Furniture,3519.29,3822.98,Returning,0.27,Bank Transfer,Online
1001,10-10-2023,David,West,3780.07,18,Furniture,2602.6,3013.49,Returning,0.08,Bank Transfer,Online
1070,26-11-2023,David,North,5813.51,40,Furniture,3089.96,3258.45,New,0.29,Cash,Online
1072,26-12-2023,Charlie,North,3635.5,23,Furniture,1662.83,2074.25,New,0.12,Bank Transfer,Online
1009,14-05-2023,David,West,2584.91,40,Furniture,2799.71,3231.08,Returning,0.29,Credit Card,Retail
1024,29-12-2023,Eve,North,9190.57,5,Furniture,3417.9,3714.52,Returning,0.27,Credit Card,Retail
1088,21-04-2023,Charlie,East,456.59,29,Furniture,639.58,1107.45,New,0.29,Cash,Retail
1052,14-04-2023,David,North,1834.7,5,Furniture,745.71,856.9100000000001,Returning,0.23,Bank Transfer,Retail
1052,22-12-2023,Charlie,West,9509.55,2,Furniture,3752.68,4017.91,Returning,0.16,Bank Transfer,Online
1039,13-05-2023,Eve,West,4422.48,40,Furniture,3536.46,3945.82,New,0.24,Bank Transfer,Online
1090,01-07-2023,David,North,2150.05,31,Furniture,4496.86,4880.799999999999,New,0.06,Cash,Retail
1070,01-01-2023,Eve,South,783.18,12,Furniture,664.33,863.03,Returning,0.25,Bank Transfer,Retail
1055,29-05-2023,Eve,North,4153.18,40,Furniture,959.73,1111.41,New,0.23,Bank Transfer,Online
1056,17-05-2023,David,West,8374.68,47,Furniture,2461.7,2529.02,Returning,0.22,Cash,Retail
1098,18-10-2023,Eve,West,1600.79,21,Furniture,725.03,828.9499999999999,New,0.18,Bank Transfer,Online
1073,21-10-2023,Alice,West,1365.88,45,Furniture,2558.09,2958.55,New,0.08,Cash,Online
1059,29-07-2023,Bob,South,7678.91,16,Furniture,4287.21,4464.28,Returning,0.2,Credit Card,Retail
1080,17-01-2023,Bob,South,4224.0,47,Furniture,4035.33,4211.25,Returning,0.07,Bank Transfer,Online
1093,08-05-2023,Bob,East,5272.85,17,Furniture,727.38,764.54,Returning,0.17,Credit Card,Retail
1003,30-12-2023,Alice,East,640.88,17,Furniture,395.11,676.6600000000001,Returning,0.25,Cash,Retail
1036,01-07-2023,Alice,West,3111.57,17,Furniture,1475.0,1840.77,Returning,0.1,Credit Card,Online
1096,10-06-2023,Charlie,South,2320.51,6,Furniture,252.62,742.0,New,0.22,Credit Card,Retail
1092,25-03-2023,Alice,West,1897.98,49,Furniture,2315.0,2467.28,New,0.15,Bank Transfer,Retail
1057,27-12-2023,Bob,South,3772.32,31,Furniture,2403.16,2453.35,Returning,0.19,Credit Card,Online
1089,26-06-2023,Eve,North,9029.21,35,Furniture,3925.85,4082.11,New,0.22,Cash,Online
1050,28-05-2023,Alice,North,8086.27,6,Furniture,3763.26,4102.72,New,0.11,Credit Card,Retail
1060,12-08-2023,David,North,1756.48,5,Furniture,3970.08,4096.48,Returning,0.13,Cash,Retail
1048,30-07-2023,Alice,North,9527.0,6,Furniture,1945.27,2309.43,New,0.26,Credit Card,Online
1069,01-02-2023,Eve,North,2726.73,18,Furniture,2760.21,3219.58,New,0.27,Bank Transfer,Retail
1024,24-04-2023,David,North,4670.99,35,Furniture,2051.0,2121.55,Returning,0.26,Cash,Retail
1036,15-11-2023,Bob,West,7316.91,19,Furniture,2844.97,3215.0,Returning,0.09,Credit Card,Retail
1084,21-09-2023,Eve,South,2813.31,36,Furniture,1458.77,1485.75,New,0.25,Credit Card,Online
1093,23-09-2023,Charlie,North,9787.4,40,Furniture,1047.25,1075.89,New,0.28,Credit Card,Retail
1082,11-06-2023,Alice,North,7041.58,17,Furniture,890.31,1159.06,Returning,0.06,Cash,Retail
1035,15-10-2023,David,North,9476.2,1,Furniture,610.83,808.69,New,0.22,Credit Card,Online
1080,27-06-2023,Eve,West,5012.96,35,Furniture,900.97,1321.18,Returning,0.1,Cash,Online
1014,12-09-2023,Charlie,East,8406.07,48,Furniture,556.72,665.07,Returning,0.01,Bank Transfer,Retail
1007,17-08-2023,Eve,East,2426.24,16,Furniture,4310.31,4633.1,New,0.28,Credit Card,Retail
1017,20-02-2023,Charlie,North,8189.57,16,Furniture,102.23,167.12,New,0.04,Credit Card,Retail
